macro,x,y,z,name,description,race
"cluster_28_macro",-105000000,0,8660000,"Antigone Memorial","Once an Argon Federation border system that survived one of the worst Xenon incursions in Argon history, Antigone Memorial made it through the shutdown through the sheer willpower of its people, who banded together and unified in order to make sure their beloved home did not once again become crippled by such dark times.<br><br>It now serves as the capital of the fledgling Antigone Republic and has seen a long stretch of peace and growth due to its distance from both major Xenon threats and the Holy Order of the Pontifex.","argon"
"cluster_29_macro",-30000000,0,34650000,"Hatikvah's Choice","Placed on the highway construction known as The Ring, Hatikvahs Choice is home to both the Hatikvah Free League and many Federation citizens, and is one of the busiest systems in Argon space. Even without a habitable planet - consisting instead of several nebulae, an asteroid field and a colossal gas giant - the system continues to flourish. Its position on the Ring, while increasing the risk of incursions, also facilitates military intervention by the neighbouring Argon Federation, and anchors the system as an economic community that is perhaps more closely intertwined with the networks trade routes than any other.","argon"
"cluster_30_macro",-45000000,0,43300000,"Morning Star","One of the dozen Argon outposts destroyed during the First Xenon Conflict, Morning Star was only rediscovered after the most recent Jump Gate realignment, with archaeologists still uncovering many of the homes and factories laid to waste by the Terraformers during that conflict.<br><br>Though the Argon Federation has begun the process of resettling the system, work has been slow, as there have always been higher priorities for investment among the more strongly contested border sectors. Naturally, this did not prevent independent Argon entrepreneurs from establishing their own businesses in the vacant space of Morning Star, and today the system is bustling with civilian traffic.","argon"
"cluster_31_macro",-75000000,0,60630000,"Heretic's End","Originally discovered and claimed by the Paranid, Heretics End became one of the most famous systems in the Jump Gate network after the building and activation of the Earth Gate and the massive battle between the Khaak and combined Terran and Commonwealth forces. While Sol remained connected to the Jump Gate network, Heretics End remained under heavy Terran protection, but when it became obvious that Jump Gates were failing too quickly for the connection to possibly remain stable, the system was swiftly abandoned, fading back into obscurity. Now, it serves as a backwater colony that holds only interest to pirates and smugglers.","argon"
"cluster_32_macro",-30000000,0,69280000,"Tharka's Cascade","Tharkas Cascade represents the last evidence available to the Jump Gate network that the Split Patriarchy survived the Jump Gate shutdown. Relatively unexplored due to both natural dangers and the unhindered spread of Xenon fleets throughout the system, its name is only known because of a brief Argon Federation scouting mission that uncovered the passages of a member of Family Tharka as she attempted to flee the area in the face of an as of yet unknown danger referred to in the files as the Fade.","xenon"
"cluster_33_macro",-45000000,0,77940000,"Matrix #79B","Matrix #79B has been the cause of much bewilderment among the post-realignment Community, and to Alliance of the Word scholars especially. As far as the cartographers can tell, it was never encountered before the Gates reconnected. It does not appear in any official documentation or corporate travel logs. Yet, when the network stabilised and the Argon Federation sent out scouts to survey the adjacent systems for activity, not only did they find a heavy Xenon presence, but also the remnants of vast structures stretching throughout the system. Surprisingly, these networks do not seem to be of Xenon origin, and raise the question of what exactly happened in this system.","xenon"
"cluster_34_macro",45000000,0,43310000,"Profit Center Alpha","Situated between two uninhabitable dust planets, this Teladi system once produced raw materials and light weapons for military and exploration ships. It was earmarked by the Profit Guild before the Jump Gate shutdown for priority expansion and investment.<br><br>As chance would have it, after the realignment, Profit Center Alpha became ideally situated for such investment, finding itself placed on The Ring after the Jump Gate fluctuation stabilised. The Teladi Company were only too happy to allow such a highway construction to be built through the system in order to allow quicker and more efficient profit.","teladi"
"cluster_35_macro",0,0,-69280000,"Lasting Vengeance","Once situated on the uncharted outskirts of the New Duchy sectors, Lasting Vengeance became known as a safe haven for smugglers, marauders and other entrepreneurial types who wished to do business in Paranid and Split territory. Behind the various pirate leaders was a guiding hand, the self-proclaimed Pirate Duke who, faced with the sudden collapse of all outside communication, harnessed the indomitable spirit of his followers and led them towards colonisation. As the years passed by after the shutdown, the once-warlike Buccaneers became content with their new purpose, while Lasting Vengeance similarly flourished in an era of relative peace and prosperity. Few remember when the dreaded armaments of Dukes Haven and its fleet fell silent for the last time.<br><br>What happened to the pirate operation in the years that followed remains unknown. It is said that when the Holy Order prospectors traversed the sectors Gate on the day of its realignment, desperate for new resources for their starving empire, all they encountered was a sea of ruin.","paranid"
"cluster_36_macro",-15000000,0,-60640000,"Cardinal's Redress","This system used to be the capital of the Second Duchy of the Paranid. When the Paranid set out for distant space, the high priests who stayed behind nominated a new Cardinal for spiritual guidance. When the Gates shut down, it was that Cardinal whom the isolated Paranid population turned towards. He led them well, and the resident Paranids would see the system be reconnected to the greater Paranid realm.<br><br>However, tensions arose when the systems Paranid were confronted by the fervent Holy Order, who would not tolerate another religious authority who did not follow their Pontifexs teachings. The Cardinal did something almost unthinkable when he converted and stepped down from his leadership duties. In doing so, he avoided otherwise certain conflict and saved countless lives. This decision did not go over well with the Godrealm, who, upon learning of his betrayal, set a considerable bounty on his head.","paranid"
"cluster_37_macro",45000000,0,-43310000,"Pious Mists","While Paranid society has historically met others with distrust, generally preferring to keep to themselves, the ramifications of the Gate shutdown have forced them into closer contact with the other races, and facilitated unrest amongst the different Paranid denominations. As part of the highway network, this system is at the forefront of both of these developments. Due to its proximity to Holy Order space, it is often considered to be the major staging ground of the Paranid conflict.<br><br>While Pious Mists  was disconnected from the other Paranid systems, an ambitious Duke tried to crown himself Pontifex in a bid for regional power. However, his subjects quickly and violently overthrew him and held out hope for a swift reconnection. When that connection was once again established, they were welcomed back into the greater Godrealm of the Paranid with open arms.","paranid"
"cluster_38_macro",30000000,0,-51970000,"Pious Mists","While Paranid society has historically met others with distrust, generally preferring to keep to themselves, the ramifications of the Gate shutdown have forced them into closer contact with the other races, and facilitated unrest amongst the different Paranid denominations. As part of the highway network, this system is at the forefront of both of these developments. Due to its proximity to Holy Order space, it is often considered to be the major staging ground of the Paranid conflict.<br><br>While Pious Mists  was disconnected from the other Paranid systems, an ambitious Duke tried to crown himself Pontifex in a bid for regional power. However, his subjects quickly and violently overthrew him and held out hope for a swift reconnection. When that connection was once again established, they were welcomed back into the greater Godrealm of the Paranid with open arms.","paranid"
"cluster_39_macro",30000000,0,0,"Memory of Profit","Savaged by the same incursion that saw {20005,6010} occupied by the Xenon, {20005,6005} was once an economic stronghold of the Teladi Company, even housing the headquarters of Nividium Mining and Manufacturing Corporation (PTNI). Though Teladi and Argon forces, and even a small contingent of Split ships, desperately tried to hold both systems, PTNI Headquarters was eventually lost.<br><br>When the Jump Gates came back on line, Teladi Scouts from {20005,6003} quickly recognised the signs of the conflict, and when they found no trace of Xenon activity within the system, immediately set about on a recolonization effort.","teladi"
"cluster_40_macro",-45000000,0,-8660000,"Second Contact","Within hours of the Jump Gates in {20005,1004} opening, fleets from both the Antigone Republic and the Holy Order of the Pontifex had arrived in system. Ownership of the system remained disputed for many years, with skirmishes from both factions commonplace.<br><br>With the start of the Paranid Civil War though, the Paranid could no longer afford to keep up their offensive and the Antigone Republic claimed the system as its own colony. Since, it has become a profitable trading hub, linking the Antigone Republic to the Argon Federation, and acts as a buffer to the Holy Order.","argon"
"cluster_41_macro",-45000000,0,8660000,"Second Contact","Within hours of the Jump Gates in {20005,1004} opening, fleets from both the Antigone Republic and the Holy Order of the Pontifex had arrived in system. Ownership of the system remained disputed for many years, with skirmishes from both factions commonplace.<br><br>With the start of the Paranid Civil War though, the Paranid could no longer afford to keep up their offensive and the Antigone Republic claimed the system as its own colony. Since, it has become a profitable trading hub, linking the Antigone Republic to the Argon Federation, and acts as a buffer to the Holy Order.","argon"
"cluster_42_macro",90000000,0,0,"Hewa's Twin","{20005,6020} may be the most widely, if not most thoroughly, explored system in Teladi territory, but has been somewhat crippled economically by its Jump Gate connection to {20005,3001}, separating it and {20005,6009} from the rest of Teladi space.<br><br>The Paranids differing views on what is legal and illegal sometimes makes it difficult for the Teladi Company to ferry supplies to citizens on both sides of the blockade. This however represents an interesting opportunity for smugglers, which the Scale Plate Pact pirates, who hide their headquarters somewhere in this system, have all too happily jumped on.","teladi"
"cluster_43_macro",90000000,0,17320000,"Hewa's Twin","{20005,6020} may be the most widely, if not most thoroughly, explored system in Teladi territory, but has been somewhat crippled economically by its Jump Gate connection to {20005,3001}, separating it and {20005,6009} from the rest of Teladi space.<br><br>The Paranids differing views on what is legal and illegal sometimes makes it difficult for the Teladi Company to ferry supplies to citizens on both sides of the blockade. This however represents an interesting opportunity for smugglers, which the Scale Plate Pact pirates, who hide their headquarters somewhere in this system, have all too happily jumped on.","teladi"
"cluster_44_macro",15000000,0,60620000,"Silent Witness","Silent Witness has established itself as vitally important to galactic trade, as its ring highway is the main connection between Argon and Teladi space. Many traders frequently use the highway to ferry their wares between factions in the hopes of turning an honest profit.<br><br>However, not everyone shares their equitable and entrepreneurial spirit. Pilots are frequently harassed by pirates, and it is not uncommon for trade ships to vanish completely. Despite calls for improved security, only parts of the system have been claimed and are actively patrolled; it is simply too big a task to weed out the criminal elements inhabiting the further reaches of the system. Ultimately, though, the risk posed by outlaws does not outweigh the convenience of travel, and potential losses are counted as an acceptable cost of doing business.","argon"
"cluster_45_macro",0,0,69280000,"Silent Witness","Silent Witness has established itself as vitally important to galactic trade, as its ring highway is the main connection between Argon and Teladi space. Many traders frequently use the highway to ferry their wares between factions in the hopes of turning an honest profit.<br><br>However, not everyone shares their equitable and entrepreneurial spirit. Pilots are frequently harassed by pirates, and it is not uncommon for trade ships to vanish completely. Despite calls for improved security, only parts of the system have been claimed and are actively patrolled; it is simply too big a task to weed out the criminal elements inhabiting the further reaches of the system. Ultimately, though, the risk posed by outlaws does not outweigh the convenience of travel, and potential losses are counted as an acceptable cost of doing business.","teladi"
"cluster_46_macro",-45000000,0,60620000,"Morning Star","One of the dozen Argon outposts destroyed during the First Xenon Conflict, Morning Star was only rediscovered anails was known across the entire network, {20005,3001} has been repurposed as the temporary capital of the Godrealm of the Paranid. The Snail Farms that were once so active here have long been shut down.<br><br>Desperate to keep some sense of order among its people, the Pontifex Maximus Paranidia placed a heavily defended house of worship on one of the many moons of {20005,3001}, and so the system has also become a place of pilgrimage for many members of the Godrealm.","paranid"
"cluster_49_macro",-75000000,0,-8660000,"Frontier Edge","Frontier Edge was newly discovered after the Gates reactivated. Several factions have shown an interest in thefter the most recent Jump Gate realignment, with archaeologists still uncovering many of the homes and factories laid to waste by the Terraformers during that conflict.<br><br>Though the Argon Federation has begun the process of resettling the system, work has been slow, as there have always been higher priorities for investment among the more strongly contested border sectors. Naturally, this did not prevent independent Argon entrepreneurs from establishing their own businesses in the vacant space of Morning Star, and today the system is bustling with civilian traffic.","argon"
"cluster_47_macro",45000000,0,8660000,"Trinity Sanctum","Made famous before the Jump Gate shutdown by its nomadic workforce, whose expertise in raising delicate Maja s system, most notably because it is home to an uninhabited planet. While this planet has not yet received a full resource survey, it seems to be fertile ground for colonisation. The system is being mapped out at rather a slow pace, in part because traversing it can be tedious at times due to its high asteroid density, but also because scout ships disappear with alarming regularity.","unknown"
"cluster_48_macro",-90000000,0,34650000,"Getsu Fune","Before the shutdown of the Jump Gates, Getsu Fune was widely regarded as the crown jewel of the Community of Planets newfound cooperation. This naively romantic assessment disregards the history of unease that followed the systems discovery by a legendary adventurer. Her sudden fame bestowed upon the system an unexpected and unprecedented surge in intergalactic attention. The prospect of inadvertently falling behind eventually pressured all major factions to ignore the threats lurking in this remote area of the network and construct large stations to stake their own claims. The fortunate beneficiaries of this peculiar arrangement were the many explorers that followed the spirit of the systems original discovery, and who now had a straightforward way to outfit their ships with state-of-the-art equipment and software from all major factions. During a period of interim administration, in which the Argon company TerraCorp set out to improve the systems infrastructure with new accelerator technology, Getsu Fune was hit by the repercussions of the collapsing Gate network, and all contact was subsequently lost.<br><br>After the Jump Gate realignment, the system was once again found to be barren and initially provided a bleak outlook on the current chances of peaceful coexistence. However, recent analysis of the many drifting station wrecks has produced matching signs of a meticulous deconstruction of the key structures, which might well point towards a joint effort between the systems many diverse inhabitants. The purpose of this undertaking, which likely took place shortly after the shutdown, and the whereabouts of the settlers, are yet to be determined.","unknown"
"cluster_50_macro",105000016,0,-25990000,"Turquoise Sea","Long before the connection of Turquoise Sea to the known Jump Gate network, it was determined that the area of space in which the system was ultimately found to reside was dominated by a rather picturesque, but otherwise unremarkable, emission nebula. Regardless of the scientific validity of this explanation, a great number of unverified rumours and adventurers tales have since succeeded in shrouding the origin of the systems striking colour in mystery. Despite the evident dangers lurking in the surrounding systems, this apparently constructed image of mystery regularly draws in waves of daring explorers in search of a supposedly hidden truth; a phenomenon that has been derogatively titled by prominent news outlets as the "Turquoise Rush". Recently, a Teladi-led syndicate has ferried in construction equipment to connect to the farther reaches of the isolated system for as yet unknown purposes.","unknown"
"cluster_401_macro",-30000000,0,86600000,"Family Zhin","Ruled at the time by the Patriarch Dhiok, this sector was plunged into a state of perpetual turmoil during the Jump Gate shutdown. Ambitious lesser families used the fact that Dhiok was cut off from the Patriarch of all Splits main domain to their advantage, and staged a siege on the regent Patriarchs seat of power. They chose to starve him out because Dhioks defences were heavily fortified. To the besiegers, it was apparent that a direct attack on the station would lead to severe casualties on both sides, and was not a certain victory. But eventually, they grew restless and bored. The Patriarch of Family Zhin, leader of the revolt, feared that his coup would soon lose momentum, so he stepped up to challenge the regent to single combat in order to end the stalemate. Worried that he would dishonour himself and lose the support of the remaining loyal Split families, Patriarch Dhiok had no choice but to accept. The duel was swiftly carried out, and resulted in Zhin assuming control.<br><br>When the Jump Gates reconnected, and Zhin was approached by Patriarch Zyarth, he was initially hesitant to relinquish sovereignty, but soon realised that his military would not stand a chance against the combined forces of Patriarchs Zyarth and Nhuut. Cautious not to repeat his predecessors arrogant mistake, he yielded to Patriarch Zyarth to maintain a modicum of authority and power within the patriarchal structure.","split"
"cluster_402_macro",-30000000,0,103920000,"Family Kritt","This system was once home to the ferocious family Njy, allies to the Patriarch of all Split, Rhonkar. Family Njy had a reputation of using ruthlessly ambitious tactics to gain any advantage over their adversaries. They often rigged their ships engines with explosive devices to inflict coordinated damage on their opponents carriers when they came into range. It was not uncommon for the crews stationed on the rigged ships to be oblivious to their strategies. Incredibly successful at first, their conduct eventually alienated them from their fellow Split families. When Patriarch Zyarths fleet approached their Gate, Family Njy realised too late that they stood alone. They were succeeded by the family Kritt, who were careful to not repeat their predecessors mistake. They swore fealty to the new Patriarch of all Split, Zyarth, and made an effort to reach out to other families residing in the system.","split"
